Code,SA4_Label,Year,population_total,population_density,population_males,population_females,median_age_males,median_age_females,median_age_persons,working_age_population,working_age_population_pct,GCCSA,State
406,South Australia - Outback,2019,85435,0.1,44108,41327,39.8,40.0,39.9,54091,0.633,4RSAU Rest of SA,SA
406,South Australia - Outback,2020,85449,0.1,44199,41250,40.0,40.3,40.1,53924,0.631,4RSAU Rest of SA,SA
406,South Australia - Outback,2021,85560,0.1,44412,41148,40.2,40.6,40.4,53722,0.628,4RSAU Rest of SA,SA
406,South Australia - Outback,2022,85540,0.1,44384,41156,40.3,41.1,40.7,53427,0.625,4RSAU Rest of SA,SA
406,South Australia - Outback,2023,85762,0.1,44491,41271,40.4,41.2,40.8,53359,0.622,4RSAU Rest of SA,SA
407,South Australia - South East,2019,194321,3.0,98391,95930,45.9,47.6,46.7,114152,0.5870000000000001,4RSAU Rest of SA,SA
407,South Australia - South East,2020,196191,3.0,99711,96480,46.4,48.2,47.3,114285,0.583,4RSAU Rest of SA,SA
407,South Australia - South East,2021,198222,3.0,101011,97211,47.0,48.8,47.9,114315,0.5770000000000001,4RSAU Rest of SA,SA
407,South Australia - South East,2022,199610,3.0,101727,97883,47.4,49.2,48.3,114462,0.573,4RSAU Rest of SA,SA
407,South Australia - South East,2023,201416,3.1,102654,98732,47.5,49.3,48.4,114991,0.5710000000000001,4RSAU Rest of SA,SA
501,Bunbury,2019,188080,7.6,92692,95388,40.8,42.2,41.5,116126,0.617,5RWAU Rest of WA,WA
501,Bunbury,2020,191479,7.7,94765,96714,41.4,42.7,42.1,117412,0.613,5RWAU Rest of WA,WA
501,Bunbury,2021,194976,7.9,96900,98076,42.0,43.3,42.6,118633,0.608,5RWAU Rest of WA,WA
501,Bunbury,2022,198243,8.0,98445,99798,42.3,43.6,43.0,120182,0.606,5RWAU Rest of WA,WA
501,Bunbury,2023,202126,8.1,100328,101716,42.5,43.8,43.1,122188,0.605,5RWAU Rest of WA,WA
502,Mandurah,2019,105875,102.5,51706,54169,43.5,44.8,44.1,61854,0.584,5RWAU Rest of WA,WA
502,Mandurah,2020,108625,105.2,52931,55694,44.1,45.3,44.8,62913,0.579,5RWAU Rest of WA,WA
502,Mandurah,2021,111295,107.8,54116,57179,44.6,45.9,45.3,63833,0.574,5RWAU Rest of WA,WA
502,Mandurah,2022,113980,110.4,55452,58528,44.7,46.3,45.6,65343,0.573,5RWAU Rest of WA,WA
502,Mandurah,2023,118394,114.6,57453,60885,44.4,46.1,45.3,67940,0.574,5RWAU Rest of WA,WA
503,Perth - Inner,2019,184416,1999.0,91660,92756,36.5,37.4,36.9,127388,0.691,5GPER Greater Perth,WA
503,Perth - Inner,2020,188590,2044.2,93787,94803,37.0,37.8,37.4,129846,0.6890000000000001,5GPER Greater Perth,WA
503,Perth - Inner,2021,188755,2046.0,94016,94739,37.4,38.2,37.8,129393,0.6859999999999999,5GPER Greater Perth,WA
503,Perth - Inner,2022,191188,2072.4,95373,95815,37.5,38.4,37.9,130990,0.685,5GPER Greater Perth,WA
503,Perth - Inner,2023,200447,2172.8,100167,99826,36.7,37.7,37.2,139092,0.695,5GPER Greater Perth,WA
504,Perth - North East,2019,273903,155.4,137867,136036,35.8,37.2,36.5,183389,0.67,5GPER Greater Perth,WA
504,Perth - North East,2020,281004,159.4,141316,139688,36.1,37.5,36.8,187280,0.6659999999999999,5GPER Greater Perth,WA
504,Perth - North East,2021,286691,162.7,144289,142402,36.5,37.8,37.1,190102,0.6629999999999999,5GPER Greater Perth,WA
504,Perth - North East,2022,292467,165.9,147239,145228,36.6,38.0,37.3,193824,0.6629999999999999,5GPER Greater Perth,WA
504,Perth - North East,2023,303576,172.2,152788,150580,36.5,37.8,37.2,202148,0.6659999999999999,5GPER Greater Perth,WA
505,Perth - North West,2019,579374,655.4,286374,293000,36.2,37.8,37.0,382117,0.66,5GPER Greater Perth,WA
505,Perth - North West,2020,590449,667.9,291600,298849,36.6,38.2,37.4,387400,0.6559999999999999,5GPER Greater Perth,WA
505,Perth - North West,2021,596988,675.3,294978,302010,37.1,38.7,37.9,389683,0.653,5GPER Greater Perth,WA
505,Perth - North West,2022,604418,683.7,298908,305510,37.3,38.9,38.1,393263,0.6509999999999999,5GPER Greater Perth,WA
505,Perth - North West,2023,624115,706.0,309055,314508,37.1,38.8,38.0,408144,0.655,5GPER Greater Perth,WA
506,Perth - South East,2019,530351,262.0,266780,263571,35.0,36.1,35.5,354474,0.6679999999999999,5GPER Greater Perth,WA
506,Perth - South East,2020,542587,268.1,272697,269890,35.4,36.5,35.9,360766,0.665,5GPER Greater Perth,WA
506,Perth - South East,2021,549135,271.3,276057,273078,35.8,36.9,36.3,363291,0.662,5GPER Greater Perth,WA
506,Perth - South East,2022,557668,275.5,280433,277235,35.9,37.1,36.5,368827,0.6609999999999999,5GPER Greater Perth,WA
506,Perth - South East,2023,579211,286.2,291607,286965,35.6,36.9,36.3,385712,0.667,5GPER Greater Perth,WA
507,Perth - South West,2019,440265,708.9,217932,222333,36.3,37.8,37.1,288670,0.6559999999999999,5GPER Greater Perth,WA
507,Perth - South West,2020,450306,725.1,222699,227607,36.6,38.1,37.4,293909,0.653,5GPER Greater Perth,WA
507,Perth - South West,2021,458974,739.1,227228,231746,37.0,38.5,37.8,298145,0.65,5GPER Greater Perth,WA
507,Perth - South West,2022,468299,754.1,232161,236138,37.2,38.8,38.0,304162,0.65,5GPER Greater Perth,WA
507,Perth - South West,2023,485886,782.4,241088,244416,37.0,38.6,37.8,317465,0.654,5GPER Greater Perth,WA
509,Western Australia - Wheat Belt,2019,139139,0.7,70701,68438,44.5,45.4,45.0,84270,0.606,5RWAU Rest of WA,WA
509,Western Australia - Wheat Belt,2020,140330,0.7,71385,68945,45.1,45.9,45.5,84389,0.601,5RWAU Rest of WA,WA
